image,n_true,n_pred,pixel_iou,pixel_dice,precision,recall,f1,mean_matched_iou,tp,fp,fn,infer_ms
IXMtest_G16_s3_w1B4690283-D75E-4DFB-92B0-29419E8292C6.tif,126,129,0.9439990552792831,0.9711929156711079,0.9767441860465116,1.0,0.988235294117647,0.9420811791343231,126,3,0,713.653564453125
IXMtest_G16_s6_w1C3F175E2-0AF5-401C-AC5C-8E128A237B22.tif,172,162,0.9581373281379338,0.9786211767374483,0.9814814814814815,0.9244186046511628,0.9520958083832335,0.9389496000867597,159,3,13,724.888801574707
IXMtest_G18_s9_w17F495AF2-03D2-4683-BD37-56887F4A3A84.tif,101,102,0.9416790084963754,0.9699636287726116,0.9705882352941176,0.9801980198019802,0.9753694581280787,0.9295134260246556,99,3,2,721.2066650390625
IXMtest_G22_s3_w157F2847B-C953-410E-8F60-956A6023AED4.tif,143,141,0.9328007029795696,0.9652321644353516,0.9787234042553191,0.965034965034965,0.971830985915493,0.9192422817111376,138,3,5,728.4145355224609
IXMtest_G22_s5_w1CE8AEFCD-7739-4D60-B112-9D2D73EE05E5.tif,135,135,0.9588552529278918,0.978995514338995,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9478353249324548,132,3,3,709.2082500457764
IXMtest_G23_s4_w126F855D5-89CE-432B-9592-684B6E5EEF24.tif,148,144,0.9318840728181698,0.9647411932526236,0.9861111111111112,0.9594594594594594,0.9726027397260274,0.9245829069057746,142,2,6,713.4535312652588
IXMtest_G23_s8_w12910C37A-C52C-45B2-A796-7C60A2247C32.tif,82,82,0.9558602240428022,0.9774320396649,1.0,1.0,1.0,0.9349888698932454,82,0,0,724.6785163879395
IXMtest_H01_s8_w13C7E7AAD-FC32-42F8-88C5-DDEA4BD8832C.tif,87,89,0.9662072902226209,0.9828132517128685,0.9775280898876404,1.0,0.9886363636363636,0.9562779964785454,87,2,0,720.0720310211182
IXMtest_H01_s9_w1237AA324-894F-4C97-99F3-FEF47F52A550.tif,102,102,0.9282659640667823,0.9627986816808569,1.0,1.0,1.0,0.9203643615154429,102,0,0,715.8119678497314
IXMtest_H06_s4_w16261E805-AF5F-4785-BB65-C77B61FF39F7.tif,168,166,0.9159558337906849,0.9561346014730229,0.9698795180722891,0.9583333333333334,0.9640718562874252,0.9004619396296893,161,5,7,712.916374206543
IXMtest_H06_s6_w1C3C98946-0210-4D6A-831E-5681452CCD1D.tif,148,154,0.8207939508506616,0.901578073089701,0.7532467532467533,0.7837837837837838,0.7682119205298014,0.7750991157488736,116,38,32,720.5805778503418
IXMtest_H07_s2_w1D8F30687-16A2-4A0D-BDD5-377257089055.tif,113,111,0.9506596439695121,0.9747058098100178,1.0,0.9823008849557522,0.9910714285714286,0.9416442335754657,111,0,2,710.9949588775635
IXMtest_H08_s8_w1418B93F8-515E-49A7-A9AE-CAF7A1589A38.tif,107,108,0.9409487584132508,0.9695760945100764,0.9814814814814815,0.9906542056074766,0.986046511627907,0.927455034159245,106,2,1,711.0762596130371
IXMtest_H11_s5_w1612B789B-6279-41E1-B4C6-009BF5772334.tif,152,154,0.944567228361418,0.9714935175137698,0.987012987012987,1.0,0.9934640522875817,0.9299120388680688,152,2,0,715.6715393066406
IXMtest_H11_s6_w19DF4E879-8DE4-45D6-840B-305BDDB27076.tif,125,124,0.9468508427322266,0.9726999336049887,1.0,0.992,0.9959839357429718,0.9343478909925544,124,0,1,723.4714031219482
IXMtest_H16_s4_w16207B133-B3F5-4C39-87A6-D71359B27581.tif,82,74,0.9452267872327188,0.971842248355421,0.9864864864864865,0.8902439024390244,0.9358974358974359,0.9278625290947105,73,1,9,719.7055816650391
IXMtest_H17_s1_w10A751E6C-5D06-4147-AB73-7FFAE0B57CC5.tif,135,133,0.9387752749406313,0.9684209274531606,0.9774436090225563,0.9629629629629629,0.9701492537313433,0.9236115679222936,130,3,5,710.9947204589844
IXMtest_H18_s7_w1D78A9181-AF11-4219-9C1E-2DB2684E948E.tif,153,153,0.9204376656537315,0.9585707280328806,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.9057444731991545,147,6,6,725.0466346740723
IXMtest_H24_s6_w15034AA9F-051A-4BF0-A62F-ABAE599C4867.tif,134,136,0.9356380718568529,0.9667489862495808,0.9705882352941176,0.9850746268656716,0.9777777777777777,0.924779346083196,132,4,2,718.1134223937988
IXMtest_I01_s4_w1218CC565-C87E-4390-936A-4D3E51BC10DB.tif,69,68,0.9529941790925763,0.9759314075737471,1.0,0.9855072463768116,0.9927007299270074,0.9345719429184678,68,0,1,710.2067470550537
IXMtest_I03_s4_w1C724E24D-7AD5-4166-A810-DC75A825495D.tif,129,128,0.9546301547435794,0.9767885269004394,0.9921875,0.9844961240310077,0.9883268482490272,0.9358155227363371,127,1,2,717.8528308868408
IXMtest_I04_s9_w16A5CC270-8B92-42EE-AA4A-855776F7D46B.tif,147,129,0.9213563501849569,0.9590686809308057,0.9767441860465116,0.8571428571428571,0.9130434782608695,0.9198892174839294,126,3,21,739.4628524780273
IXMtest_I07_s4_w1F156255A-3842-46FB-ABF2-9D041E523F86.tif,113,106,0.9399773017449283,0.9690601028161083,0.9716981132075472,0.911504424778761,0.9406392694063926,0.9262828419788116,103,3,10,722.3927974700928
IXMtest_I08_s2_w11996D679-5D76-4FB8-A681-2014A8999EC8.tif,102,104,0.9461706110816173,0.9723408684665801,0.9807692307692307,1.0,0.9902912621359222,0.938716131799967,102,2,0,718.1727886199951
IXMtest_I11_s6_w1B2DC04C7-2D7D-45C6-9DC2-66D8605FBE63.tif,69,68,0.9583730167948152,0.9787440988778972,0.9852941176470589,0.9710144927536232,0.9781021897810219,0.9425907796283194,67,1,2,722.6929664611816
IXMtest_I12_s1_w18A06F07F-CD8F-4056-B041-3967BE48AD78.tif,202,203,0.9426164889423675,0.9704607103953523,0.9802955665024631,0.9851485148514851,0.9827160493827161,0.9248694657240464,199,4,3,715.9628868103027
IXMtest_I15_s5_w11265571E-AA95-4E58-82CF-A75E3F240956.tif,183,183,0.9472239550842171,0.9728967770872045,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9235081079769707,180,3,3,722.2640514373779
IXMtest_I15_s8_w196F01FA4-CE06-44AE-AAA5-ADEC35BAE513.tif,176,171,0.9402345171627151,0.9691967737360521,0.9824561403508771,0.9545454545454546,0.968299711815562,0.9186260593565604,168,3,8,736.8810176849365
IXMtest_I16_s9_w1582FD22A-5270-4FDC-868F-5F75808E2321.tif,118,119,0.9293721835439153,0.9633933685483358,0.9915966386554622,1.0,0.9957805907172996,0.9186394439294163,118,1,0,720.6664085388184
IXMtest_I17_s6_w1EB7CA00F-DF95-466C-BF8C-6304B6A4974E.tif,147,144,0.9508066557731698,0.9747830754620154,0.9930555555555556,0.9727891156462585,0.9828178694158075,0.931421484617665,143,1,4,722.6626873016357
IXMtest_I17_s7_w1BB3D534E-DF08-4F21-BAC6-6B105BB40AF9.tif,127,128,0.9444327509997895,0.9714223857977917,0.984375,0.9921259842519685,0.988235294117647,0.9331636774522639,126,2,1,713.3975028991699
IXMtest_I18_s3_w1544C8B7A-E092-4F9D-B8D3-C489638D770F.tif,155,154,0.9357711196942347,0.9668200028131887,0.974025974025974,0.967741935483871,0.970873786407767,0.9112885123657011,150,4,5,717.5695896148682
IXMtest_I23_s5_w1E3053D6B-8CEF-48E3-A6A5-2F0D7C1AA177.tif,35,35,0.949294138670479,0.9739875782091536,1.0,1.0,1.0,0.9289290861882828,35,0,0,719.1357612609863
IXMtest_J02_s5_w1F53DDD35-C0B2-4E39-BA3B-9F66D289AB02.tif,149,145,0.9355659759626556,0.9667104997517337,0.993103448275862,0.9664429530201343,0.9795918367346937,0.9216515089566312,144,1,5,713.2663726806641
IXMtest_J02_s8_w1D9C198F9-ECF0-4EF7-848D-AC7782CD3C28.tif,108,106,0.9525516394928799,0.9756993056944484,1.0,0.9814814814814815,0.9906542056074767,0.9470514149539114,106,0,2,719.9270725250244
IXMtest_J03_s4_w1472990BF-A442-497B-8A43-8EE065002EEB.tif,125,127,0.9457672553613263,0.9721278356960515,0.968503937007874,0.984,0.976190476190476,0.9318001779060415,123,4,2,714.9336338043213
IXMtest_J07_s9_w16921AB3C-1E9C-41C5-ADDA-7DE5CBF9CCBB.tif,190,190,0.9426556110660633,0.970481443747784,0.9842105263157894,0.9842105263157894,0.9842105263157894,0.928089184521727,187,3,3,734.6577644348145
IXMtest_J08_s2_w1C146DB1C-05B3-49EF-9C62-1185FD9897AC.tif,168,173,0.9390777576853526,0.9685818466674749,0.9653179190751445,0.9940476190476191,0.9794721407624633,0.919713866204356,167,6,1,723.0699062347412
IXMtest_J11_s2_w1177A125B-DEBE-4CB7-8F26-53A871785BA5.tif,133,134,0.9507060985636214,0.9747302264176672,0.9850746268656716,0.9924812030075187,0.9887640449438201,0.9399871848349813,132,2,1,713.524341583252
IXMtest_J15_s9_w1857B395F-AE7A-4319-BC26-3A041C0E31E9.tif,145,139,0.9586619990452593,0.9788947756300521,0.9784172661870504,0.9379310344827586,0.9577464788732394,0.9387466762263242,136,3,9,719.9130058288574
IXMtest_J16_s8_w1AD7BC3EB-6A29-4A53-AA59-E39653839B0D.tif,141,143,0.9335441950012033,0.9656300563645739,0.972027972027972,0.9858156028368794,0.9788732394366197,0.9182438432156343,139,4,2,726.144552230835
